Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Alfa Romeo,Alfa Romeo 147,3000,PLN,Benzyna,159000,2008,Manualna,NULL
Volvo,Volvo XC 60,129999,PLN,Benzyna,127000,2018,Automatyczna,NULL
Ford,Ford B-MAX,22900,PLN,Benzyna,161000,2016,Manualna,NULL
Jaguar,Jaguar I-Pace EV400 AWD SE,69900,PLN,Elektryczny,135125,2019,Automatyczna,NULL
Cupra,Cupra Formentor VZ 2.0 TSI 4Drive DSG,119999,PLN,Benzyna,81800,2020,Automatyczna,2.0
Hyundai,Hyundai Kona 1.0 T-GDI Advantage+,44900,PLN,Benzyna,112000,2018,Manualna,1.0
Denza,Denza Z9 GT,269000,PLN,Benzyna,18500,2024,Automatyczna,NULL
Fiat,Fiat Tipo 1.4 16V More,29900,PLN,Benzyna,108000,2017,Manualna,1.4
Toyota,Toyota RAV4 2.0 D-4D 4x4,13900,PLN,Diesel,223759,2004,Manualna,2.0
Renault,Renault Megane 1.9 dCi Dynamique,16900,PLN,Diesel,208000,2010,Manualna,1.9
Jeep,Jeep Compass 2.0 MJD Limited 4WD S&S,57000,PLN,Diesel,159000,2017,Manualna,2.0
Opel,Opel Insignia,13200,PLN,Diesel,195500,2010,Automatyczna,NULL
Renault,Renault Trafic,26900,PLN,Diesel,270000,2011,Manualna,NULL
Volkswagen,Volkswagen CC,30000,PLN,Benzyna,215000,2014,Automatyczna,NULL
Ford,Ford Focus 1.0 EcoBoost ST-Line,28700,PLN,Benzyna,150000,2018,Manualna,1.0
Seat,Seat Ateca,90500,PLN,Benzyna,53590,2019,Automatyczna,NULL
Mitsubishi,Mitsubishi Outlander 2.2 DID Instyle Navi 4WD,34900,PLN,Diesel,341500,2014,Automatyczna,2.2
Mercedes-Benz,Mercedes-Benz Klasa V 250 d 4-Matic Avantgarde 9G-Tronic (d³ugi),182000,PLN,Diesel,130300,2019,Automatyczna,NULL
Mitsubishi,Mitsubishi Lancer,20900,PLN,Benzyna,167800,2009,Manualna,NULL
Alfa Romeo,Alfa Romeo Giulia,67900,PLN,Diesel,127300,2017,Automatyczna,NULL
Nissan,Nissan Juke 1.6 Acenta,27900,PLN,Benzyna,141058,2013,Manualna,1.6
Hyundai,Hyundai Veloster,23900,PLN,Benzyna,213100,2012,Automatyczna,NULL
Mercedes-Benz,Mercedes-Benz Klasa C AMG 43 4Matic 9G-TRONIC,129900,PLN,Benzyna,76214,2017,Automatyczna,NULL
Chevrolet,Chevrolet Cruze,3800,PLN,Diesel,333080,2009,Manualna,NULL
Peugeot,Peugeot 208,24000,PLN,Benzyna,101000,2017,Manualna,NULL
Volvo,Volvo XC 90 B5 B AWD Ultra Bright 7os,35670,PLN,Benzyna,14600,2025,Automatyczna,NULL
Fiat,Fiat Panda,11800,PLN,Benzyna,82000,2011,Manualna,NULL
Audi,Audi Q5 Sportback 50 TFSI e Quattro S Line S tronic,209000,PLN,Hybryda Plug-in,24200,2024,Automatyczna,NULL
Nissan,Nissan Micra 1.0 N-Way,35900,PLN,Benzyna,98000,2019,Manualna,1.0
Chevrolet,Chevrolet Orlando,19900,PLN,Benzyna,252000,2012,Manualna,NULL
Volkswagen,Volkswagen Passat 2.0 TDI DPF Sportline,29999,PLN,Diesel,189953,2011,Manualna,2.0
Renault,Renault Scenic 1.6 16V TomTom Edition,24500,PLN,Benzyna,89598,2012,Manualna,1.6
Aixam,Aixam Inny,9900,PLN,Diesel,21000,1997,Automatyczna,NULL
Lexus,Lexus CT 200h Comfort,46200,PLN,Benzyna+LPG,187000,2012,Automatyczna,NULL
Nissan,Nissan Qashqai ver-1-5-dci-tekna,26999,PLN,Diesel,167669,2011,Manualna,NULL
Renault,Renault Grand Scenic,71000,PLN,Benzyna,131941,2018,Automatyczna,NULL
Volvo,Volvo V60 T6 AWD Plug-In Hybrid Inscription,139999,PLN,Hybryda Plug-in,23000,2021,Automatyczna,NULL
Skoda,Skoda Octavia 1.9 TDI Ambiente,6000,PLN,Diesel,211372,2005,Manualna,1.9
Kia,Kia Rio 1.2 Spirit,23500,PLN,Benzyna,168963,2013,Manualna,1.2
Volkswagen,Volkswagen Fox 1.2 Style,6999,PLN,Benzyna,182685,2009,Manualna,1.2
Opel,Opel Corsa 1.2 16V Enjoy,3000,PLN,Benzyna,231500,2007,Manualna,1.2
Audi,Audi Q3 Sportback 35 TFSI mHEV S tronic,104900,PLN,Benzyna,104000,2021,Automatyczna,NULL
Renault,Renault Espace 2.0 dCi Celsium ESM,33500,PLN,Diesel,148056,2014,Manualna,2.0
Volkswagen,Volkswagen Golf Plus 2.0 TDI DPF MATCH,25900,PLN,Diesel,184000,2012,Manualna,2.0
Opel,Opel Meriva 1.4 Ecoflex Design Edition,23999,PLN,Benzyna,149825,2015,Manualna,1.4
BMW,BMW Seria 4 420d xDrive M Sport sport,139000,PLN,Diesel,24000,2025,Automatyczna,NULL
Renault,Renault Clio 1.2 TCE Extreme,13900,PLN,Benzyna,225000,2010,Manualna,1.2
Renault,Renault Espace 2.0 dCi Initiale ESM,33500,PLN,Diesel,139259,2013,Automatyczna,2.0
Peugeot,Peugeot 107 70 Black&Silver,10800,PLN,Benzyna,142852,2012,Manualna,NULL
Nissan,Nissan Juke 1.0 DIG-T Tekna DCT,64900,PLN,Benzyna,43100,2020,Automatyczna,1.0
Audi,Audi A3 Limousine,49000,PLN,Diesel,161732,2016,Manualna,NULL
