Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów
Alfa Romeo,Alfa Romeo 147,3000,PLN,Benzyna,159000,2008,Manualna
Volvo,Volvo XC 60,129999,PLN,Benzyna,127000,2018,Automatyczna
Ford,Ford B-MAX,22900,PLN,Benzyna,161000,2016,Manualna
Jaguar,Jaguar I-Pace EV400 AWD SE,69900,PLN,Elektryczny,135125,2019,Automatyczna
Cupra,Cupra Formentor VZ 2.0 TSI 4Drive DSG,119999,PLN,Benzyna,81800,2020,Automatyczna
Hyundai,Hyundai Kona 1.0 T-GDI Advantage+,44900,PLN,Benzyna,112000,2018,Manualna
Denza,Denza Z9 GT,269000,PLN,Benzyna,18500,2024,Automatyczna
Fiat,Fiat Tipo 1.4 16V More,29900,PLN,Benzyna,108000,2017,Manualna
Toyota,Toyota RAV4 2.0 D-4D 4x4,13900,PLN,Diesel,223759,2004,Manualna
Renault,Renault Megane 1.9 dCi Dynamique,16900,PLN,Diesel,208000,2010,Manualna
Jeep,Jeep Compass 2.0 MJD Limited 4WD S&S,57000,PLN,Diesel,159000,2017,Manualna
Opel,Opel Insignia,13200,PLN,Diesel,195500,2010,Automatyczna
Renault,Renault Trafic,26900,PLN,Diesel,270000,2011,Manualna
Volkswagen,Volkswagen CC,30000,PLN,Benzyna,215000,2014,Automatyczna
Ford,Ford Focus 1.0 EcoBoost ST-Line,28700,PLN,Benzyna,150000,2018,Manualna
Seat,Seat Ateca,90500,PLN,Benzyna,53590,2019,Automatyczna
Mitsubishi,Mitsubishi Outlander 2.2 DID Instyle Navi 4WD,34900,PLN,Diesel,341500,2014,Automatyczna
Mercedes-Benz,Mercedes-Benz Klasa V 250 d 4-Matic Avantgarde 9G-Tronic (d³ugi),182000,PLN,Diesel,130300,2019,Automatyczna
Mitsubishi,Mitsubishi Lancer,20900,PLN,Benzyna,167800,2009,Manualna
Alfa Romeo,Alfa Romeo Giulia,67900,PLN,Diesel,127300,2017,Automatyczna
Nissan,Nissan Juke 1.6 Acenta,27900,PLN,Benzyna,141058,2013,Manualna
Hyundai,Hyundai Veloster,23900,PLN,Benzyna,213100,2012,Automatyczna
Mercedes-Benz,Mercedes-Benz Klasa C AMG 43 4Matic 9G-TRONIC,129900,PLN,Benzyna,76214,2017,Automatyczna
Chevrolet,Chevrolet Cruze,3800,PLN,Diesel,333080,2009,Manualna
Peugeot,Peugeot 208,24000,PLN,Benzyna,101000,2017,Manualna
Volvo,Volvo XC 90 B5 B AWD Ultra Bright 7os,35670,PLN,Benzyna,14600,2025,Automatyczna
Fiat,Fiat Panda,11800,PLN,Benzyna,82000,2011,Manualna
Audi,Audi Q5 Sportback 50 TFSI e Quattro S Line S tronic,209000,PLN,Hybryda Plug-in,24200,2024,Automatyczna
Nissan,Nissan Micra 1.0 N-Way,35900,PLN,Benzyna,98000,2019,Manualna
Chevrolet,Chevrolet Orlando,19900,PLN,Benzyna,252000,2012,Manualna
Volkswagen,Volkswagen Passat 2.0 TDI DPF Sportline,29999,PLN,Diesel,189953,2011,Manualna
Renault,Renault Scenic 1.6 16V TomTom Edition,24500,PLN,Benzyna,89598,2012,Manualna
Aixam,Aixam Inny,9900,PLN,Diesel,21000,1997,Automatyczna
Lexus,Lexus CT 200h Comfort,46200,PLN,Benzyna+LPG,187000,2012,Automatyczna
Nissan,Nissan Qashqai ver-1-5-dci-tekna,26999,PLN,Diesel,167669,2011,Manualna
Renault,Renault Grand Scenic,71000,PLN,Benzyna,131941,2018,Automatyczna
Volvo,Volvo V60 T6 AWD Plug-In Hybrid Inscription,139999,PLN,Hybryda Plug-in,23000,2021,Automatyczna
Skoda,Skoda Octavia 1.9 TDI Ambiente,6000,PLN,Diesel,211372,2005,Manualna
Kia,Kia Rio 1.2 Spirit,23500,PLN,Benzyna,168963,2013,Manualna
Volkswagen,Volkswagen Fox 1.2 Style,6999,PLN,Benzyna,182685,2009,Manualna
Opel,Opel Corsa 1.2 16V Enjoy,3000,PLN,Benzyna,231500,2007,Manualna
Audi,Audi Q3 Sportback 35 TFSI mHEV S tronic,104900,PLN,Benzyna,104000,2021,Automatyczna
Renault,Renault Espace 2.0 dCi Celsium ESM,33500,PLN,Diesel,148056,2014,Manualna
Volkswagen,Volkswagen Golf Plus 2.0 TDI DPF MATCH,25900,PLN,Diesel,184000,2012,Manualna
Opel,Opel Meriva 1.4 Ecoflex Design Edition,23999,PLN,Benzyna,149825,2015,Manualna
BMW,BMW Seria 4 420d xDrive M Sport sport,139000,PLN,Diesel,24000,2025,Automatyczna
Renault,Renault Clio 1.2 TCE Extreme,13900,PLN,Benzyna,225000,2010,Manualna
Renault,Renault Espace 2.0 dCi Initiale ESM,33500,PLN,Diesel,139259,2013,Automatyczna
Peugeot,Peugeot 107 70 Black&Silver,10800,PLN,Benzyna,142852,2012,Manualna
Nissan,Nissan Juke 1.0 DIG-T Tekna DCT,64900,PLN,Benzyna,43100,2020,Automatyczna
Audi,Audi A3 Limousine,49000,PLN,Diesel,161732,2016,Manualna
Seat,Seat Leon 2.0 TDI DPF Start&Stop DSG FR,44000,PLN,Diesel,238000,2016,Automatyczna
Opel,Opel Zafira 2.0 CDTI Cosmo,19999,PLN,Diesel,225007,2012,Manualna
Ford,Ford Kuga,14900,PLN,Diesel,320000,2010,Manualna
Citroën,Citroën Berlingo M 1.5 BlueHDI Live,45000,PLN,Diesel,181350,2018,Manualna
Volkswagen,Volkswagen Passat 2.0 TDI (BlueMotion Technology) DSG Comfortline,64000,PLN,Diesel,181000,2022,Automatyczna
Citroën,Citroën Berlingo 1.4i Advance,8500,PLN,Benzyna,224085,2007,Manualna
Audi,Audi A3 3-drzwiowe 1.4 TFSI S line Sportpaket,19900,PLN,Benzyna,176000,2013,Manualna
Fiat,Fiat Freemont 2.0 Multijet,22800,PLN,Diesel,231000,2012,Manualna
Chevrolet,Chevrolet Aveo 1.2 16V LS Design+,6500,PLN,Benzyna,160407,2008,Manualna
BMW,BMW Seria 1,14900,PLN,Benzyna,285000,2005,Manualna
Mercedes-Benz,Mercedes-Benz Klasa B 200 d 7G-DCT Edition,27700,PLN,Diesel,56000,2018,Automatyczna
Mercedes-Benz,Mercedes-Benz GLC,169000,PLN,Hybryda Plug-in,101582,2021,Automatyczna
Ford,Ford S-Max 2.0 TDCi DPF Titanium,23900,PLN,Diesel,292600,2012,Manualna
Ford,Ford Focus 2.0 EcoBoost ST mit Leder-Sport-Paket,43500,PLN,Benzyna,147000,2013,Manualna
Skoda,Skoda Superb,104900,PLN,Diesel,118100,2022,Automatyczna
Toyota,Toyota Hilux 3.0 D-4D Invincible,69000,PLN,Diesel,222000,2011,Automatyczna
Seat,Seat Ibiza,77900,PLN,Benzyna,14500,2025,Manualna
Renault,Renault Laguna,28900,PLN,Benzyna,167150,2014,Manualna
Volkswagen,Volkswagen Caravelle,157900,PLN,Diesel,62500,2022,Manualna
Seat,Seat Alhambra,49900,PLN,Diesel,222900,2014,Automatyczna
Kia,Kia Sportage,106500,PLN,Benzyna,75300,2023,Automatyczna
Fiat,Fiat Freemont,28900,PLN,Diesel,226950,2013,Automatyczna
Toyota,Toyota Yaris,74900,PLN,Hybryda,55500,2023,Automatyczna
Skoda,Skoda Fabia,68900,PLN,Benzyna,70485,2023,Manualna
Skoda,Skoda Kamiq,81900,PLN,Benzyna,42500,2022,Automatyczna
Ford,Ford Kuga,82900,PLN,Benzyna,76300,2022,Manualna
Ford,Ford Kuga,51900,PLN,Diesel,155500,2017,Automatyczna
Seat,Seat Tarraco,89500,PLN,Benzyna,77860,2022,Manualna
Kia,Kia Ceed,96500,PLN,Benzyna,96500,2022,Manualna
Seat,Seat Ibiza,53900,PLN,Benzyna,83500,2022,Manualna
Alfa Romeo,Alfa Romeo Giulietta,10500,PLN,Diesel,224722,2012,Manualna
Mercedes-Benz,Mercedes-Benz GLK 220 CDI DPF 4Matic BlueEFFICIENCY 7G-TRONIC,16600,PLN,Diesel,99000,2009,Automatyczna
BMW,BMW Seria 3 318i Advantage,54900,PLN,Benzyna,131000,2018,Automatyczna
Citroën,Citroën C5,7500,PLN,Diesel,412330,2006,Manualna
Audi,Audi A4 Avant 40 TDI S tronic design,73700,PLN,Diesel,99500,2017,Automatyczna
